Variable_Pair	P_Value
EDUCATION_LEVELhighschool_graduate vs SK_ID_CURR	0.994028514147235
AGE_BUCKET65_UP vs OBS_30_CNT_SOCIAL_CIRCLE	0.987967590590277
AGE_BUCKET46_64 vs SK_ID_CURR	0.987755327579084
AGE_BUCKET65_UP vs OBS_60_CNT_SOCIAL_CIRCLE	0.977620709632554
NAME_FAMILY_STATUSSeparated vs CREDIT_TO_ANNUITY_RATIO	0.94873150656362
NAME_EDUCATION_TYPEAcademic_degree vs DAYS_LAST_PHONE_CHANGE	0.940179618694937
OCCUPATION_TYPEHR_staff vs SK_ID_CURR	0.936889789462551
OCCUPATION_TYPECleaning_staff vs CREDIT_TO_ANNUITY_RATIO	0.927678955213102
NAME_EDUCATION_TYPEAcademic_degree vs DEF_30_CNT_SOCIAL_CIRCLE	0.926372067912684
OCCUPATION_TYPESecretaries vs CREDIT_TO_GOODS_PRICE_RATIO	0.920681970391026
NAME_FAMILY_STATUSUnknown vs AMT_CREDIT	0.913343349486694
NAME_FAMILY_STATUSCivil_marriage vs SK_ID_CURR	0.877971858519098
INCOME_BRACKET150k_200k vs SK_ID_CURR	0.874084291734605
HAS_CHILDREN vs AMT_CREDIT	0.873267273427273
HAS_CHILDREN_NUM vs AMT_CREDIT	0.873267273427273
OCCUPATION_TYPEUnknown vs OBS_30_CNT_SOCIAL_CIRCLE	0.860638818458481
OCCUPATION_TYPERealty_agents vs OBS_60_CNT_SOCIAL_CIRCLE	0.847524762446303
OCCUPATION_TYPEHR_staff vs CREDIT_TO_INCOME_RATIO	0.836528502604897
OCCUPATION_TYPEUnknown vs OBS_60_CNT_SOCIAL_CIRCLE	0.822676568671405
INCOME_BRACKET100k_150k vs SK_ID_CURR	0.822251341191654
NAME_FAMILY_STATUSCivil_marriage vs DEF_30_CNT_SOCIAL_CIRCLE	0.810389008169241
EDUCATION_LEVELcollege_graduate vs SK_ID_CURR	0.807627449132801
OCCUPATION_TYPEPrivate_service_staff vs SK_ID_CURR	0.802276689669341
OCCUPATION_TYPESecretaries vs EXT_SOURCE_1	0.797730648121163
OCCUPATION_TYPEDrivers vs SK_ID_CURR	0.796729497311348
OCCUPATION_TYPERealty_agents vs OBS_30_CNT_SOCIAL_CIRCLE	0.792829922271712
INCOME_BRACKET50k_100k vs SK_ID_CURR	0.791601409040565
NAME_FAMILY_STATUSUnknown vs AMT_GOODS_PRICE	0.790606560923306
NAME_EDUCATION_TYPEHigher_education vs SK_ID_CURR	0.783686424901771
OCCUPATION_TYPERealty_agents vs CREDIT_TO_GOODS_PRICE_RATIO	0.782202919241785
NAME_FAMILY_STATUSUnknown vs CREDIT_TO_ANNUITY_RATIO	0.770718993761272
AGE_BUCKET65_UP vs SK_ID_CURR	0.76760932337317
OCCUPATION_TYPESecretaries vs CREDIT_TO_ANNUITY_RATIO	0.759787190560452
OCCUPATION_TYPEPrivate_service_staff vs OBS_30_CNT_SOCIAL_CIRCLE	0.754259890876029
