Var1	Var2	value
SK_ID_CURR	SK_ID_CURR	1
CNT_CHILDREN	CNT_CHILDREN	1
AMT_INCOME_TOTAL	AMT_INCOME_TOTAL	1
AMT_CREDIT	AMT_CREDIT	1
AMT_ANNUITY	AMT_ANNUITY	1
AMT_GOODS_PRICE	AMT_GOODS_PRICE	1
DAYS_BIRTH	DAYS_BIRTH	1
DAYS_EMPLOYED	DAYS_EMPLOYED	1
EXT_SOURCE_1	EXT_SOURCE_1	1
EXT_SOURCE_2	EXT_SOURCE_2	1
OBS_30_CNT_SOCIAL_CIRCLE	OBS_30_CNT_SOCIAL_CIRCLE	1
DEF_30_CNT_SOCIAL_CIRCLE	DEF_30_CNT_SOCIAL_CIRCLE	1
OBS_60_CNT_SOCIAL_CIRCLE	OBS_60_CNT_SOCIAL_CIRCLE	1
DAYS_LAST_PHONE_CHANGE	DAYS_LAST_PHONE_CHANGE	1
AMT_REQ_CREDIT_BUREAU_YEAR	AMT_REQ_CREDIT_BUREAU_YEAR	1
AGE_IN_YEARS	AGE_IN_YEARS	1
AGE_IN_YEARS_NUM	AGE_IN_YEARS	1
EMPLOYED_IN_YEARS	EMPLOYED_IN_YEARS	1
AGE_IN_YEARS	AGE_IN_YEARS_NUM	1
AGE_IN_YEARS_NUM	AGE_IN_YEARS_NUM	1
CREDIT_TO_INCOME_RATIO	CREDIT_TO_INCOME_RATIO	1
CREDIT_TO_ANNUITY_RATIO	CREDIT_TO_ANNUITY_RATIO	1
CREDIT_TO_GOODS_PRICE_RATIO	CREDIT_TO_GOODS_PRICE_RATIO	1
OBS_60_CNT_SOCIAL_CIRCLE	OBS_30_CNT_SOCIAL_CIRCLE	0.995729533833148
OBS_30_CNT_SOCIAL_CIRCLE	OBS_60_CNT_SOCIAL_CIRCLE	0.995729533833148
AMT_GOODS_PRICE	AMT_CREDIT	0.986976771201102
AMT_CREDIT	AMT_GOODS_PRICE	0.986976771201102
EMPLOYED_IN_YEARS	DAYS_EMPLOYED	0.940745141342138
DAYS_EMPLOYED	EMPLOYED_IN_YEARS	0.940745141342138
AMT_GOODS_PRICE	AMT_ANNUITY	0.775294089603928
AMT_ANNUITY	AMT_GOODS_PRICE	0.775294089603928
AMT_ANNUITY	AMT_CREDIT	0.770139013240494
AMT_CREDIT	AMT_ANNUITY	0.770139013240494
EMPLOYED_IN_YEARS	AGE_IN_YEARS	0.67309040870405
AGE_IN_YEARS	EMPLOYED_IN_YEARS	0.67309040870405
AGE_IN_YEARS_NUM	EMPLOYED_IN_YEARS	0.67309040870405
EMPLOYED_IN_YEARS	AGE_IN_YEARS_NUM	0.67309040870405
CREDIT_TO_ANNUITY_RATIO	AMT_CREDIT	0.659255284502585
AMT_CREDIT	CREDIT_TO_ANNUITY_RATIO	0.659255284502585
CREDIT_TO_INCOME_RATIO	AMT_CREDIT	0.651095539768546
AMT_CREDIT	CREDIT_TO_INCOME_RATIO	0.651095539768546
CREDIT_TO_ANNUITY_RATIO	AMT_GOODS_PRICE	0.632089501616988
AMT_GOODS_PRICE	CREDIT_TO_ANNUITY_RATIO	0.632089501616988
CREDIT_TO_INCOME_RATIO	AMT_GOODS_PRICE	0.631206488631277
AMT_GOODS_PRICE	CREDIT_TO_INCOME_RATIO	0.631206488631277
AGE_IN_YEARS	EXT_SOURCE_1	0.627873196112743
AGE_IN_YEARS_NUM	EXT_SOURCE_1	0.627873196112743
EXT_SOURCE_1	AGE_IN_YEARS	0.627873196112743
EXT_SOURCE_1	AGE_IN_YEARS_NUM	0.627873196112743
AGE_IN_YEARS	DAYS_EMPLOYED	0.615829670305241
AGE_IN_YEARS_NUM	DAYS_EMPLOYED	0.615829670305241
DAYS_EMPLOYED	AGE_IN_YEARS	0.615829670305241
DAYS_EMPLOYED	AGE_IN_YEARS_NUM	0.615829670305241
CREDIT_TO_ANNUITY_RATIO	CREDIT_TO_INCOME_RATIO	0.599188521816862
CREDIT_TO_INCOME_RATIO	CREDIT_TO_ANNUITY_RATIO	0.599188521816862
EMPLOYED_IN_YEARS	EXT_SOURCE_1	0.411094960500538
EXT_SOURCE_1	EMPLOYED_IN_YEARS	0.411094960500538
CREDIT_TO_INCOME_RATIO	AMT_ANNUITY	0.39323302884584
AMT_ANNUITY	CREDIT_TO_INCOME_RATIO	0.39323302884584
EXT_SOURCE_1	DAYS_EMPLOYED	0.351826736875191
DAYS_EMPLOYED	EXT_SOURCE_1	0.351826736875191
OBS_60_CNT_SOCIAL_CIRCLE	DEF_30_CNT_SOCIAL_CIRCLE	0.331324611984247
DEF_30_CNT_SOCIAL_CIRCLE	OBS_60_CNT_SOCIAL_CIRCLE	0.331324611984247
DAYS_BIRTH	CNT_CHILDREN	0.33093749822606
CNT_CHILDREN	DAYS_BIRTH	0.33093749822606
DEF_30_CNT_SOCIAL_CIRCLE	OBS_30_CNT_SOCIAL_CIRCLE	0.328961243438022
OBS_30_CNT_SOCIAL_CIRCLE	DEF_30_CNT_SOCIAL_CIRCLE	0.328961243438022
EXT_SOURCE_2	EXT_SOURCE_1	0.19814357235416
EXT_SOURCE_1	EXT_SOURCE_2	0.19814357235416
