Var1	Var2	value
SK_ID_CURR	SK_ID_CURR	1
CNT_CHILDREN	CNT_CHILDREN	1
AMT_INCOME_TOTAL	AMT_INCOME_TOTAL	1
AMT_CREDIT	AMT_CREDIT	1
AMT_ANNUITY	AMT_ANNUITY	1
AMT_GOODS_PRICE	AMT_GOODS_PRICE	1
DAYS_BIRTH	DAYS_BIRTH	1
DAYS_EMPLOYED	DAYS_EMPLOYED	1
EXT_SOURCE_1	EXT_SOURCE_1	1
EXT_SOURCE_2	EXT_SOURCE_2	1
OBS_30_CNT_SOCIAL_CIRCLE	OBS_30_CNT_SOCIAL_CIRCLE	1
DEF_30_CNT_SOCIAL_CIRCLE	DEF_30_CNT_SOCIAL_CIRCLE	1
OBS_60_CNT_SOCIAL_CIRCLE	OBS_60_CNT_SOCIAL_CIRCLE	1
DEF_60_CNT_SOCIAL_CIRCLE	DEF_60_CNT_SOCIAL_CIRCLE	1
DAYS_LAST_PHONE_CHANGE	DAYS_LAST_PHONE_CHANGE	1
AMT_REQ_CREDIT_BUREAU_YEAR	AMT_REQ_CREDIT_BUREAU_YEAR	1
AGE_IN_YEARS	AGE_IN_YEARS	1
EMPLOYED_IN_YEARS	EMPLOYED_IN_YEARS	1
OBS_60_CNT_SOCIAL_CIRCLE	OBS_30_CNT_SOCIAL_CIRCLE	0.998489542510993
OBS_30_CNT_SOCIAL_CIRCLE	OBS_60_CNT_SOCIAL_CIRCLE	0.998489542510993
AMT_GOODS_PRICE	AMT_CREDIT	0.98696830542215
AMT_CREDIT	AMT_GOODS_PRICE	0.98696830542215
DEF_60_CNT_SOCIAL_CIRCLE	DEF_30_CNT_SOCIAL_CIRCLE	0.86051738008352
DEF_30_CNT_SOCIAL_CIRCLE	DEF_60_CNT_SOCIAL_CIRCLE	0.86051738008352
AMT_GOODS_PRICE	AMT_ANNUITY	0.775109273312025
AMT_ANNUITY	AMT_GOODS_PRICE	0.775109273312025
AMT_ANNUITY	AMT_CREDIT	0.770138003311881
AMT_CREDIT	AMT_ANNUITY	0.770138003311881
AGE_IN_YEARS	DAYS_EMPLOYED	0.615827124071415
DAYS_EMPLOYED	AGE_IN_YEARS	0.615827124071415
AGE_IN_YEARS	EXT_SOURCE_1	0.600435088221728
EXT_SOURCE_1	AGE_IN_YEARS	0.600435088221728
EMPLOYED_IN_YEARS	AGE_IN_YEARS	0.352083560060504
AGE_IN_YEARS	EMPLOYED_IN_YEARS	0.352083560060504
OBS_60_CNT_SOCIAL_CIRCLE	DEF_30_CNT_SOCIAL_CIRCLE	0.33157080584769
DEF_30_CNT_SOCIAL_CIRCLE	OBS_60_CNT_SOCIAL_CIRCLE	0.33157080584769
DAYS_BIRTH	CNT_CHILDREN	0.330937668114573
CNT_CHILDREN	DAYS_BIRTH	0.330937668114573
DEF_30_CNT_SOCIAL_CIRCLE	OBS_30_CNT_SOCIAL_CIRCLE	0.329338113303801
OBS_30_CNT_SOCIAL_CIRCLE	DEF_30_CNT_SOCIAL_CIRCLE	0.329338113303801
EXT_SOURCE_1	DAYS_EMPLOYED	0.289847797095059
DAYS_EMPLOYED	EXT_SOURCE_1	0.289847797095059
DEF_60_CNT_SOCIAL_CIRCLE	OBS_60_CNT_SOCIAL_CIRCLE	0.25557005982504
OBS_60_CNT_SOCIAL_CIRCLE	DEF_60_CNT_SOCIAL_CIRCLE	0.25557005982504
DEF_60_CNT_SOCIAL_CIRCLE	OBS_30_CNT_SOCIAL_CIRCLE	0.25349935020943
OBS_30_CNT_SOCIAL_CIRCLE	DEF_60_CNT_SOCIAL_CIRCLE	0.25349935020943
EMPLOYED_IN_YEARS	EXT_SOURCE_1	0.252711677961677
EXT_SOURCE_1	EMPLOYED_IN_YEARS	0.252711677961677
EXT_SOURCE_2	EXT_SOURCE_1	0.213982383163338
EXT_SOURCE_1	EXT_SOURCE_2	0.213982383163338
AMT_ANNUITY	AMT_INCOME_TOTAL	0.191657428036956
AMT_INCOME_TOTAL	AMT_ANNUITY	0.191657428036956
EXT_SOURCE_1	AMT_GOODS_PRICE	0.175502215160713
AMT_GOODS_PRICE	EXT_SOURCE_1	0.175502215160713
EXT_SOURCE_1	AMT_CREDIT	0.168428899773241
AMT_CREDIT	EXT_SOURCE_1	0.168428899773241
AMT_GOODS_PRICE	AMT_INCOME_TOTAL	0.159610064414329
AMT_INCOME_TOTAL	AMT_GOODS_PRICE	0.159610064414329
AMT_CREDIT	AMT_INCOME_TOTAL	0.156870271851931
AMT_INCOME_TOTAL	AMT_CREDIT	0.156870271851931
EXT_SOURCE_2	AMT_GOODS_PRICE	0.13936679918459
AMT_GOODS_PRICE	EXT_SOURCE_2	0.13936679918459
EXT_SOURCE_2	AMT_CREDIT	0.131227935873244
AMT_CREDIT	EXT_SOURCE_2	0.131227935873244
EXT_SOURCE_2	AMT_ANNUITY	0.12580400336483
AMT_ANNUITY	EXT_SOURCE_2	0.12580400336483
EXT_SOURCE_1	AMT_ANNUITY	0.119398381926498
AMT_ANNUITY	EXT_SOURCE_1	0.119398381926498
EMPLOYED_IN_YEARS	EXT_SOURCE_2	0.0934427315597761
